,quality,helpfulness,clarity,easiness
0,4.63636363636364,4.63636363636364,4.63636363636364,4.81818181818182
1,4.318181818,4.545454545,4.090909091,4.363636364
2,4.7906976744186,4.72093023255814,4.86046511627907,4.6046511627907
3,4.25,4.458333333,4.041666667,2.791666667
4,4.684210526,4.684210526,4.684210526,4.473684211
5,4.23333333333333,4.26666666666667,4.2,4.53333333333333
6,4.382352941,4.352941176,4.411764706,4.117647059
7,2.0625,2.0625,2.0625,1.4375
8,2.0416667,2.1666667,2.0,1.75
9,4.111111111,4.222222222,4.0,3.666666667
10,4.727272727,4.909090909,4.545454545,4.0
11,3.7242424,3.8484848,3.6060605,4.242424
12,2.804347826,2.695652174,2.913043478,2.217391304
13,4.8382354,4.8235292,4.852941,4.6764708
14,4.565217391,4.565217391,4.565217391,2.826086957
15,4.94444444444444,4.96296296296296,4.92592592592593,3.7037037037037
16,4.464285714,4.714285714,4.214285714,3.214285714
17,4.18421052631579,4.36842105263158,4.0,3.63157894736842
18,3.90909090909091,4.09090909090909,3.72727272727273,2.27272727272727
19,3.5,3.2857144,3.7142856,3.2857144
20,3.4745762,3.542373,3.4067798,2.3559322
21,3.6964285,3.7142856,3.6785715,3.642857
22,3.57692307692308,3.46153846153846,3.69230769230769,4.61538461538461
23,1.633333333,1.6,1.666666667,2.266666667
24,3.53125,3.3125,3.75,2.5625
25,3.114285714,3.057142857,3.171428571,3.857142857
26,4.909090909,5.0,4.818181818,4.181818182
27,4.239130435,4.434782609,4.043478261,2.826086957
28,3.981481481,4.037037037,3.925925926,3.148148148
29,4.392857143,4.5,4.285714286,3.166666667
30,4.526315789,4.473684211,4.578947368,3.131578947
31,4.075,4.15,4.0,3.25
32,2.8295455,3.0227273,2.6363637,2.0454545
33,4.552631579,4.561403509,4.543859649,3.614035088
34,3.7,3.6,3.8,3.133333333
35,1.89130434782609,2.23913043478261,1.54347826086957,3.8695652173913
36,4.27777777777778,4.22222222222222,4.33333333333333,3.88888888888889
37,4.416666667,4.611111111,4.222222222,3.111111111
38,2.5696204,2.6962025,2.443038,2.658228
39,3.472222222,3.111111111,3.833333333,3.388888889
40,2.44230769230769,2.69230769230769,2.19230769230769,2.23076923076923
41,3.067307692,3.403846154,2.692307692,3.076923077
42,3.6,3.6,3.6,3.2
43,4.11538461538461,4.23076923076923,4.0,2.88461538461538
44,2.9,3.2,2.6,3.8
